Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  2.38      0.56     0.02       23     0.87    29.86  ThreadPool::ThreadPool(unsigned long, bool)::{lambda()#2}::operator()() const
  1.79      0.57     0.01  4106121     0.00     0.00  Vec3::~Vec3()
  1.79      0.58     0.01  2201506     0.00     0.00  Vec3::Vec3(double, double, double)
  1.79      0.60     0.01        1    15.00    15.00  __gnu_cxx::new_allocator<std::thread>::new_allocator()
  1.19      0.61     0.01  4665236     0.00     0.00  double const& std::max<double>(double const&, double const&)
  1.19      0.62     0.01  3696777     0.00     0.00  Vec3::get_x() const
  1.19      0.63     0.01  1081554     0.00     0.00  std::_Function_base::~_Function_base()
  1.19      0.64     0.01   916218     0.00     0.00  Interval::Interval(double, double)
  1.19      0.65     0.01   711356     0.00     0.00  Interval::clamp(double) const
  1.19      0.66     0.01   631535     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  1.19      0.67     0.01   622199     0.00     0.00  random_double()
  1.19      0.68     0.01   508810     0.00     0.00  Vec3::length_squared() const
  1.19      0.69     0.01   495028     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  1.19      0.70     0.01   491520     0.00     0.00  std::unique_lock<std::mutex>::~unique_lock()
  1.19      0.71     0.01   475285     0.00     0.00  std::_Any_data::_M_access() const
  1.19      0.72     0.01   451050     0.00     0.00  std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_get_pointer(std::_Any_data const&)
  1.19      0.73     0.01   256777     0.00     0.00  bvh_node::hit(Ray const&, Interval, hit_record&) const
  1.19      0.74     0.01   227819     0.00     0.00  void std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_create<Camera::render(hittable_list const&, char*)::{lambda()#1}>(std::_Any_data&, Camera::render(hittable_list const&, char*)::{lambda()#1}&&, std::integral_constant<bool, false>)
  1.19      0.75     0.01   224615     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::pop()
  1.19      0.76     0.01   218417     0.00     0.00  std::_Function_handler<void (), Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  1.19      0.77     0.01   208560     0.00     0.00  operator+(Color const&, Color const&)
  1.19      0.78     0.01   148094     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  1.19      0.79     0.01   139556     0.00     0.00  Ray::get_time() const
  1.19      0.80     0.01    25623     0.00     0.00  Lambertian::scatter(Ray const&, record_content const&, Color&, Ray&) const
  1.19      0.81     0.01        1    10.00    95.07  Camera::render(hittable_list const&, char*)
  0.60      0.81     0.01  2402347     0.00     0.00  aabb::axis_interval(int) const
  0.60      0.82     0.01   947368     0.00     0.00  __gthread_active_p()
  0.60      0.82     0.01     1386     0.00     0.00  aabb::aabb(aabb const&, aabb const&)
  0.60      0.83     0.01      624     0.01     0.01  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.60      0.83     0.01      511     0.01     0.01  void std::allocator_traits<std::allocator<std::shared_ptr<hittable> > >::destroy<std::shared_ptr<hittable> >(std::allocator<std::shared_ptr<hittable> >&, std::shared_ptr<hittable>*)
  0.60      0.84     0.01                             main
  0.00      0.84     0.00  3932355     0.00     0.00  Vec3::get_y() const
  0.00      0.84     0.00  1542781     0.00     0.00  Ray::get_direction() const
  0.00      0.84     0.00  1368230     0.00     0.00  Color::Color(double, double, double)
  0.00      0.84     0.00  1218931     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.84     0.00  1158647     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.84     0.00  1151202     0.00     0.00  Ray::get_origin() const
  0.00      0.84     0.00  1133730     0.00     0.00  Vec3::Vec3()
  0.00      0.84     0.00  1125287     0.00     0.00  std::function<void ()>&& std::forward<std::function<void ()> >(std::remove_reference<std::function<void ()> >::type&)
  0.00      0.84     0.00  1120277     0.00     0.00  Color::get_g() const
  0.00      0.84     0.00  1118167     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.84     0.00  1114175     0.00     0.00  Color::get_r() const
  0.00      0.84     0.00  1108224     0.00     0.00  Color::get_b() const
  0.00      0.84     0.00  1089842     0.00     0.00  std::__shared_ptr_access<hittable, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.84     0.00  1077994     0.00     0.00  std::function<void ()>::~function()
  0.00      0.84     0.00  1012862     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::base() const
  0.00      0.84     0.00   926891     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.84     0.00   925520     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.84     0.00   917125     0.00     0.00  Camera::render(hittable_list const&, char*)::{lambda()#1}*& std::_Any_data::_M_access<Camera::render(hittable_list const&, char*)::{lambda()#1}*>()
  0.00      0.84     0.00   910190     0.00     0.00  operator*(double, Vec3 const&)
  0.00      0.84     0.00   713879     0.00     0.00  std::function<void ()>::operator bool() const
  0.00      0.84     0.00   691680     0.00     0.00  Color::linear_to_gamma(double)
  0.00      0.84     0.00   687374     0.00     0.00  Camera::render(hittable_list const&, char*)::{lambda()#1}&& std::forward<Camera::render(hittable_list const&, char*)::{lambda()#1}>(std::remove_reference<Camera::render(hittable_list const&, char*)::{lambda()#1}>::type&)
  0.00      0.84     0.00   672625     0.00     0.00  std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.84     0.00   664500     0.00     0.00  std::_Function_handler<void (), Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.84     0.00   663100     0.00     0.00  std::remove_reference<std::function<void ()>&>::type&& std::move<std::function<void ()>&>(std::function<void ()>&)
  0.00      0.84     0.00   654890     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&)>::type&& std::move<void (*&)(std::_Any_data const&)>(void (*&)(std::_Any_data const&))
  0.00      0.84     0.00   653347     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.84     0.00   651036     0.00     0.00  std::remove_reference<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>::type&& std::move<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.84     0.00   648371     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      0.84     0.00   644985     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.84     0.00   639963     0.00     0.00  std::remove_reference<std::_Any_data&>::type&& std::move<std::_Any_data&>(std::_Any_data&)
  0.00      0.84     0.00   639411     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      0.84     0.00   593284     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.84     0.00   528192     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      0.84     0.00   519255     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.84     0.00   511463     0.00     0.00  Camera::render(hittable_list const&, char*)::{lambda()#1}& std::forward<Camera::render(hittable_list const&, char*)::{lambda()#1}&>(std::remove_reference<Camera::render(hittable_list const&, char*)::{lambda()#1}&>::type&)
  0.00      0.84     0.00   507059     0.00     0.00  std::__shared_ptr<Material, (__gnu_cxx::_Lock_policy)2>::__shared_ptr()
  0.00      0.84     0.00   506325     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.84     0.00   505924     0.00     0.00  std::shared_ptr<Material>::shared_ptr()
  0.00      0.84     0.00   505883     0.00     0.00  hit_record::hit_record()
  0.00      0.84     0.00   503367     0.00     0.00  std::mutex::unlock()
  0.00      0.84     0.00   502238     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::__normal_iterator(std::shared_ptr<hittable> const* const&)
  0.00      0.84     0.00   497274     0.00     0.00  bool __gnu_cxx::operator!=<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > > const&, __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > > const&)
  0.00      0.84     0.00   492955     0.00     0.00  std::__shared_ptr<Material, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.84     0.00   489657     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::operator*() const
  0.00      0.84     0.00   488164     0.00     0.00  hit_record::~hit_record()
  0.00      0.84     0.00   487211     0.00     0.00  std::function<void ()>::function(std::function<void ()>&&)
  0.00      0.84     0.00   486982     0.00     0.00  std::shared_ptr<Material>::~shared_ptr()
  0.00      0.84     0.00   472989     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::_Deque_iterator(std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&)
  0.00      0.84     0.00   470768     0.00     0.00  std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_destroy(std::_Any_data&, std::integral_constant<bool, false>)
  0.00      0.84     0.00   467235     0.00     0.00  Camera::render(hittable_list const&, char*)::{lambda()#1}* const& std::_Any_data::_M_access<Camera::render(hittable_list const&, char*)::{lambda()#1}*>() const
  0.00      0.84     0.00   455393     0.00     0.00  Camera::render(hittable_list const&, char*)::{lambda()#1} const& std::forward<Camera::render(hittable_list const&, char*)::{lambda()#1} const&>(std::remove_reference<Camera::render(hittable_list const&, char*)::{lambda()#1} const&>::type&)
  0.00      0.84     0.00   436474     0.00     0.00  std::operator==(std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&, std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&)
  0.00      0.84     0.00   430822     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::empty() const
  0.00      0.84     0.00   430441     0.00     0.00  operator*(double, Color const&)
  0.00      0.84     0.00   421116     0.00     0.00  std::mutex* std::__addressof<std::mutex>(std::mutex&)
  0.00      0.84     0.00   417635     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
  0.00      0.84     0.00   403942     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::empty() const
  0.00      0.84     0.00   398597     0.00     0.00  operator-(Vec3 const&, Vec3 const&)
  0.00      0.84     0.00   387131     0.00     0.00  ThreadPool::ThreadPool(unsigned long, bool)::{lambda()#2}::operator()() const::{lambda()#1}::operator()() const
  0.00      0.84     0.00   286425     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.84     0.00   281211     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::operator--()
  0.00      0.84     0.00   280464     0.00     0.00  Ray::Ray(Vec3 const&, Vec3 const&, double)
  0.00      0.84     0.00   276904     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::back()
  0.00      0.84     0.00   276854     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::end()
  0.00      0.84     0.00   276633     0.00     0.00  void __gnu_cxx::new_allocator<std::function<void ()> >::construct<std::function<void ()>, std::function<void ()> >(std::function<void ()>*, std::function<void ()>&&)
  0.00      0.84     0.00   276626     0.00     0.00  std::function<void ()>& std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::emplace_back<std::function<void ()> >(std::function<void ()>&&)
  0.00      0.84     0.00   276444     0.00     0.00  void std::allocator_traits<std::allocator<std::function<void ()> > >::construct<std::function<void ()>, std::function<void ()> >(std::allocator<std::function<void ()> >&, std::function<void ()>*, std::function<void ()>&&)
  0.00      0.84     0.00   276099     0.00     0.00  operator/(Vec3 const&, double)
  0.00      0.84     0.00   275953     0.00     0.00  Ray::~Ray()
  0.00      0.84     0.00   269904     0.00     0.00  Camera::render(hittable_list const&, char*)::{lambda()#1}::operator()() const
  0.00      0.84     0.00   267297     0.00     0.00  Camera::get_ray(int, int) const
  0.00      0.84     0.00   263407     0.00     0.00  decltype(auto) std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::emplace<std::function<void ()> >(std::function<void ()>&&)
  0.00      0.84     0.00   261500     0.00     0.00  Camera::sample_square() const
  0.00      0.84     0.00   261273     0.00     0.00  void std::__invoke_impl<void, Camera::render(hittable_list const&, char*)::{lambda()#1}&>(std::__invoke_other, Camera::render(hittable_list const&, char*)::{lambda()#1}&)
  0.00      0.84     0.00   260823     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::operator*() const
  0.00      0.84     0.00   257171     0.00     0.00  std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > >::end() const
  0.00      0.84     0.00   252919     0.00     0.00  Camera::ray_color(Ray const&, int, hittable_list const&)
  0.00      0.84     0.00   246251     0.00     0.00  std::enable_if<is_invocable_r_v<void, Camera::render(hittable_list const&, char*)::{lambda()#1}&>, void>::type std::__invoke_r<void, Camera::render(hittable_list const&, char*)::{lambda()#1}&>(Camera::render(hittable_list const&, char*)::{lambda()#1}&)
  0.00      0.84     0.00   240374     0.00     0.00  std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > >::begin() const
  0.00      0.84     0.00   238566     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::operator++()
  0.00      0.84     0.00   230099     0.00     0.00  std::function<void ()>::function<Camera::render(hittable_list const&, char*)::{lambda()#1}, void>(Camera::render(hittable_list const&, char*)::{lambda()#1}&&)
  0.00      0.84     0.00   229185     0.00     0.00  void std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_create<Camera::render(hittable_list const&, char*)::{lambda()#1} const&>(std::_Any_data&, Camera::render(hittable_list const&, char*)::{lambda()#1} const&, std::integral_constant<bool, false>)
  0.00      0.84     0.00   228973     0.00     0.00  Color::operator+=(Color const&)
  0.00      0.84     0.00   228614     0.00     0.00  bool std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_not_empty_function<Camera::render(hittable_list const&, char*)::{lambda()#1}>(Camera::render(hittable_list const&, char*)::{lambda()#1} const&)
  0.00      0.84     0.00   228514     0.00     0.00  void std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_init_functor<Camera::render(hittable_list const&, char*)::{lambda()#1}>(std::_Any_data&, Camera::render(hittable_list const&, char*)::{lambda()#1}&&)
  0.00      0.84     0.00   228003     0.00     0.00  unit_vector(Vec3 const&)
  0.00      0.84     0.00   227565     0.00     0.00  Vec3::get_length() const
  0.00      0.84     0.00   226852     0.00     0.00  std::_Deque_base<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_get_Tp_allocator()
  0.00      0.84     0.00   225988     0.00     0.00  void std::allocator_traits<std::allocator<std::function<void ()> > >::destroy<std::function<void ()> >(std::allocator<std::function<void ()> >&, std::function<void ()>*)
  0.00      0.84     0.00   225502     0.00     0.00  Color::operator*=(double)
  0.00      0.84     0.00   225052     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::pop_front()
  0.00      0.84     0.00   223657     0.00     0.00  void __gnu_cxx::new_allocator<std::function<void ()> >::destroy<std::function<void ()> >(std::function<void ()>*)
  0.00      0.84     0.00   223538     0.00     0.00  std::function<void ()>::function(std::function<void ()> const&)
  0.00      0.84     0.00   223445     0.00     0.00  void std::_Function_base::_Base_manager<Camera::render(hittable_list const&, char*)::{lambda()#1}>::_M_init_functor<Camera::render(hittable_list const&, char*)::{lambda()#1} const&>(std::_Any_data&, Camera::render(hittable_list const&, char*)::{lambda()#1} const&)
  0.00      0.84     0.00   221847     0.00     0.00  Color::write_color(int, int, char*)
  0.00      0.84     0.00   218227     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<void (*)(std::_Any_data const&)> >, std::is_move_constructible<void (*)(std::_Any_data const&)>, std::is_move_assignable<void (*)(std::_Any_data const&)> >::value, void>::type std::swap<void (*)(std::_Any_data const&)>(void (*&)(std::_Any_data const&), void (*&)(std::_Any_data const&))
  0.00      0.84     0.00   217922     0.00     0.00  void std::condition_variable::wait<ThreadPool::ThreadPool(unsigned long, bool)::{lambda()#2}::operator()() const::{lambda()#1}>(std::unique_lock<std::mutex>&, ThreadPool::ThreadPool(unsigned long, bool)::{lambda()#2}::operator()() const::{lambda()#1})
  0.00      0.84     0.00   215266     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::_Any_data> >, std::is_move_constructible<std::_Any_data>, std::is_move_assignable<std::_Any_data> >::value, void>::type std::swap<std::_Any_data>(std::_Any_data&, std::_Any_data&)
  0.00      0.84     0.00   212181     0.00     0.00  std::function<void ()>::swap(std::function<void ()>&)
  0.00      0.84     0.00   211104     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)> >, std::is_move_constructible<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>, std::is_move_assignable<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)> >::value, void>::type std::swap<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation), bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.84     0.00   208309     0.00     0.00  std::function<void ()>::operator()() const
  0.00      0.84     0.00   203626     0.00     0.00  std::function<void ()>::function()
  0.00      0.84     0.00   203169     0.00     0.00  std::function<void ()>::operator=(std::function<void ()>&&)
  0.00      0.84     0.00   201417     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::begin()
  0.00      0.84     0.00   198474     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::front()
  0.00      0.84     0.00   189209     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::front()
  0.00      0.84     0.00   162048     0.00     0.00  dot(Vec3 const&, Vec3 const&)
  0.00      0.84     0.00   151772     0.00     0.00  Ray::at(double) const
  0.00      0.84     0.00   129555     0.00     0.00  random_double(double, double)
  0.00      0.84     0.00   110315     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.84     0.00   100338     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.84     0.00    90470     0.00     0.00  std::shared_ptr<hittable>::~shared_ptr()
  0.00      0.84     0.00    85610     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.84     0.00    84640     0.00     0.00  std::shared_ptr<hittable>::shared_ptr(std::shared_ptr<hittable> const&)
  0.00      0.84     0.00    84640     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.84     0.00    79924     0.00     0.00  Interval::surrounds(double) const
  0.00      0.84     0.00    75767     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::_S_buffer_size()
  0.00      0.84     0.00    58297     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.84     0.00    56392     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::_M_set_node(std::function<void ()>**)
  0.00      0.84     0.00    55998     0.00     0.00  std::__shared_ptr<Material, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<Material, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.84     0.00    53868     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable>*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::operator*() const
  0.00      0.84     0.00    53029     0.00     0.00  std::shared_ptr<Material>::operator=(std::shared_ptr<Material> const&)
  0.00      0.84     0.00    49892     0.00     0.00  Vec3::random(double, double)
  0.00      0.84     0.00    42831     0.00     0.00  sphere::bounding_box() const
  0.00      0.84     0.00    36184     0.00     0.00  __gnu_cxx::new_allocator<std::function<void ()> >::_M_max_size() const
  0.00      0.84     0.00    33807     0.00     0.00  std::remove_reference<hittable*&>::type&& std::move<hittable*&>(hittable*&)
  0.00      0.84     0.00    32433     0.00     0.00  hit_record::set_face_normal(Ray const&, Vec3 const&)
  0.00      0.84     0.00    30049     0.00     0.00  Color::Color()
  0.00      0.84     0.00    29769     0.00     0.00  std::__shared_ptr<Material, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.84     0.00    28830     0.00     0.00  Ray::Ray()
  0.00      0.84     0.00    28186     0.00     0.00  Vec3::near_zero() const
  0.00      0.84     0.00    27815     0.00     0.00  std::__shared_ptr_access<Material, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.84     0.00    27721     0.00     0.00  Color::operator*=(Color const&)
  0.00      0.84     0.00    27538     0.00     0.00  random_unit_vec_rejection_method()
  0.00      0.84     0.00    27406     0.00     0.00  std::__shared_ptr_access<Material, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.84     0.00    27385     0.00     0.00  record_content::record_content()
  0.00      0.84     0.00    27360     0.00     0.00  std::remove_reference<std::shared_ptr<hittable>&>::type&& std::move<std::shared_ptr<hittable>&>(std::shared_ptr<hittable>&)
  0.00      0.84     0.00    26907     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.84     0.00    24401     0.00     0.00  Color::Color(Color const&)
  0.00      0.84     0.00    24114     0.00     0.00  record_content::~record_content()
  0.00      0.84     0.00    23583     0.00     0.00  hit_record::operator=(hit_record const&)
  0.00      0.84     0.00    20917     0.00     0.00  bvh_node::box_compare(std::shared_ptr<hittable>, std::shared_ptr<hittable>, int)
  0.00      0.84     0.00    18389     0.00     0.00  __gnu_cxx::new_allocator<std::function<void ()> >::max_size() const
  0.00      0.84     0.00    18309     0.00     0.00  std::allocator_traits<std::allocator<std::function<void ()> > >::max_size(std::allocator<std::function<void ()> > const&)
  0.00      0.84     0.00    18252     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
